id,idioms,ABnn,AnBn,AnnB,nABn,nAnB,nnAB,PTT_WomenTalk,China_text,Apple_text,PTT_Hate,PTT_Gossiping,PTT_AllTogether,pooled
304,萬千氣象,0,0,0,0,0,1,0,13,0,0,0,0,13
148,準備萬一,1,0,0,0,0,0,1,4,7,0,0,0,12
523,八紘一宇,0,0,0,0,1,0,0,12,0,0,0,0,12
904,半死半活,0,0,0,0,1,0,0,0,10,1,1,0,12
329,人一己百,0,1,0,0,0,0,0,11,0,0,0,0,11
35,六十甲子,0,0,0,0,0,1,0,10,0,0,1,0,11
593,三災八難,0,0,0,0,1,0,0,11,0,0,0,0,11
512,千愁萬恨,0,0,0,0,1,0,0,0,10,0,0,0,10
937,七上八落,0,0,0,0,1,0,0,10,0,0,0,0,10
763,盈千累萬,0,1,0,0,0,0,0,10,0,0,0,0,10
670,七通八達,0,0,0,0,1,0,0,10,0,0,0,0,10
612,十不得一,0,0,0,1,0,0,0,10,0,0,0,0,10
196,七擒七縱,0,0,0,0,1,0,0,2,4,0,3,0,9
663,百紫千紅,0,0,0,0,1,0,0,9,0,0,0,0,9
717,五勞七傷,0,0,0,0,1,0,0,8,0,0,1,0,9
119,半吞半吐,0,0,0,0,1,0,0,9,0,0,0,0,9
638,一口一聲,0,0,0,0,1,0,1,8,0,0,0,0,9
643,千回百折,0,0,0,0,1,0,0,0,8,0,0,0,8
562,千年萬載,0,0,0,0,1,0,0,8,0,0,0,0,8
566,以一當十,0,1,0,0,0,0,0,7,0,0,1,0,8
92,一清二白,0,0,0,0,1,0,1,7,0,0,0,0,8
262,千端萬緒,0,0,0,0,1,0,0,8,0,0,0,0,8
141,萬縷千絲,0,0,0,0,1,0,0,8,0,0,0,0,8
79,半人半鬼,0,0,0,0,1,0,0,3,4,0,1,0,8
363,一言半語,0,0,0,0,1,0,0,6,2,0,0,0,8
574,一刻千金,0,0,0,0,1,0,0,4,4,0,0,0,8
181,懲一儆百,0,1,0,0,0,0,0,0,8,0,0,0,8
183,三六九等,0,0,1,0,1,1,1,1,0,0,5,0,7
311,半生半熟,0,0,0,0,1,0,0,7,0,0,0,0,7
230,七老八老,0,0,0,0,1,0,0,5,0,1,0,1,7
474,一日三秋,0,0,0,0,1,0,1,5,0,0,1,0,7
872,千慮一失,0,0,0,0,1,0,0,7,0,0,0,0,7
235,七個八個,0,0,0,0,1,0,2,4,0,0,1,0,7
808,兩兩三三,1,0,0,0,0,0,0,0,6,0,1,0,7
814,吆五喝六,0,1,0,0,0,0,0,7,0,0,0,0,7
831,七長八短,0,0,0,0,1,0,0,7,0,0,0,0,7
99,千金一擲,0,0,0,0,1,0,0,6,0,0,0,0,6
442,八荒九垓,0,0,0,0,1,0,0,6,0,0,0,0,6
884,一時半晌,0,0,0,0,1,0,0,1,4,0,1,0,6
84,橫三豎四,0,1,0,0,0,0,0,6,0,0,0,0,6
811,一呼四應,0,0,0,0,1,0,0,6,0,0,0,0,6
284,千刀萬剁,0,0,0,0,1,0,0,6,0,0,0,0,6
338,腰纏十萬,1,0,0,0,0,0,0,6,0,0,0,0,6
5,八花九裂,0,0,0,0,1,0,0,5,0,0,0,0,5
455,百中無一,0,0,0,1,0,0,0,5,0,0,0,0,5
451,千奇萬狀,0,0,0,0,1,0,0,5,0,0,0,0,5
617,九儒十丐,0,0,0,0,1,0,0,2,0,0,3,0,5
605,百無一失,0,0,0,0,1,0,0,5,0,0,0,0,5
789,百媚千嬌,0,0,0,0,1,0,0,1,4,0,0,0,5
48,萬苦千辛,0,0,0,0,1,0,0,4,0,0,0,1,5
590,十二金人,0,0,0,0,0,1,0,5,0,0,0,0,5
371,一步一趨,0,0,0,0,1,0,0,3,0,0,1,0,4
817,一樹百穫,0,0,0,0,1,0,0,4,0,0,0,0,4
934,十二時辰,0,0,0,0,0,1,0,2,0,0,2,0,4
529,一唱三嘆,0,0,0,0,1,0,0,4,0,0,0,0,4
792,三千世界,0,0,0,0,0,1,0,1,0,0,3,0,4
348,五癆七傷,0,0,0,0,1,0,0,4,0,0,0,0,4
718,千乘萬騎,0,0,0,0,1,0,0,0,0,3,0,0,3
128,千萬買鄰,0,0,0,0,0,1,0,3,0,0,0,0,3
928,千縷萬絲,0,0,0,0,1,0,0,2,0,0,0,1,3
841,五洲四海,0,0,0,0,1,0,0,3,0,0,0,0,3
215,一死一生,0,0,0,0,1,0,0,3,0,0,0,0,3
565,千緒萬端,0,0,0,0,1,0,0,2,0,0,0,0,2
439,千方萬計,0,0,0,0,1,0,0,2,0,0,0,0,2
415,三千弟子,0,0,0,0,0,1,0,1,0,0,1,0,2
434,百無一是,0,0,0,0,1,0,0,2,0,0,0,0,2
707,千兵萬馬,0,0,0,0,1,0,0,2,0,0,0,0,2
397,千喚萬喚,0,0,0,0,1,0,0,0,2,0,0,0,2
576,萬死一生,0,0,0,0,1,0,0,2,0,0,0,0,2
851,三年五歲,0,0,0,0,1,0,0,2,0,0,0,0,2
807,十二金牌,0,0,0,0,0,1,0,2,0,0,0,0,2
111,一觴一詠,0,0,0,0,1,0,0,2,0,0,0,0,2
920,千推萬阻,0,0,0,0,1,0,0,1,1,0,0,0,2
252,一龍一蛇,0,0,0,0,1,0,0,0,2,0,0,0,2
852,半疑半信,0,0,0,0,1,0,0,0,2,0,0,0,2
500,一揮千金,0,0,0,0,1,0,0,1,0,0,0,0,1
761,千載一逢,0,0,0,0,1,0,0,0,0,0,1,0,1
661,千難萬險,0,0,0,0,1,0,0,1,0,0,0,0,1
947,九鼎一言,0,0,0,0,1,0,0,1,0,0,0,0,1
758,伏屍百萬,1,0,0,0,0,0,0,0,0,0,1,0,1
234,一本十利,0,0,0,0,1,0,0,0,0,0,1,0,1
392,千古一人,0,0,0,0,1,0,0,0,0,0,1,0,1
122,一般無二,0,0,0,1,0,0,0,1,0,0,0,0,1
559,四六駢儷,0,0,0,0,0,1,1,0,0,0,0,0,1
543,一倡百和,0,0,0,0,1,0,0,1,0,0,0,0,1
250,千紅萬紫,0,0,0,0,1,0,0,1,0,0,0,0,1
398,四鄰八舍,0,0,0,0,1,0,0,0,0,0,1,0,1
97,百八煩惱,0,0,0,0,0,1,0,1,0,0,0,0,1
616,千鈞一發,0,0,0,0,1,0,0,0,0,0,1,0,1
664,一笑千金,0,0,0,0,1,0,0,1,0,0,0,0,1
859,千思萬想,0,0,0,0,1,0,1,0,0,0,0,0,1
775,五十笑百,0,1,0,1,0,1,0,1,0,0,0,0,1
377,十萬火速,0,0,0,0,0,1,0,0,1,0,0,0,1
773,推三拉四,0,1,0,0,0,0,0,0,0,0,1,0,1
719,年方二八,1,0,0,0,0,0,0,0,0,0,1,0,1
101,八字一撇,0,0,0,0,1,0,0,0,0,0,1,0,1
570,一唱百和,0,0,0,0,1,0,0,1,0,0,0,0,1
703,百里挑一,0,0,0,1,0,0,0,0,1,0,0,0,1
45,一緣一會,0,0,0,0,1,0,0,0,1,0,0,0,1
888,一言千金,0,0,0,0,1,0,0,0,0,0,0,0,0
630,三茶六飯,0,0,0,0,1,0,0,0,0,0,0,0,0
878,萬無一矢,0,0,0,0,1,0,0,0,0,0,0,0,0
879,七孔八穿,0,0,0,0,1,0,0,0,0,0,0,0,0
892,一夕千念,0,0,0,0,1,0,0,0,0,0,0,0,0
645,四拾五入,0,0,0,0,1,0,0,0,0,0,0,0,0
880,七股八權,0,0,0,0,1,0,0,0,0,0,0,0,0
637,八索九丘,0,0,0,0,1,0,0,0,0,0,0,0,0
883,一彼一此,0,0,0,0,1,0,0,0,0,0,0,0,0
885,千奇萬怪,0,0,0,0,1,0,0,0,0,0,0,0,0
635,五脊六獸,0,0,0,0,1,0,0,0,0,0,0,0,0
877,千嬌百態,0,0,0,0,1,0,0,0,0,0,0,0,0
639,一歲三遷,0,0,0,0,1,0,0,0,0,0,0,0,0
636,百慮一失,0,0,0,0,1,0,0,0,0,0,0,0,0
890,欺三瞞四,0,1,0,0,0,0,0,0,0,0,0,0,0
893,千篇一體,0,0,0,0,1,0,0,0,0,0,0,0,0
633,千墟萬落,0,0,0,0,1,0,0,0,0,0,0,0,0
634,三門四戶,0,0,0,0,1,0,0,0,0,0,0,0,0
887,千籌百計,0,0,0,0,1,0,0,0,0,0,0,0,0
961,四清六活,0,0,0,0,1,0,0,0,0,0,0,0,0
632,四亭八當,0,0,0,0,1,0,0,0,0,0,0,0,0
577,一手一足,0,0,0,0,1,0,0,0,0,0,0,0,0
647,一替一句,0,0,0,0,1,0,0,0,0,0,0,0,0
648,四分五落,0,0,0,0,1,0,0,0,0,0,0,0,0
862,千熔百煉,0,0,0,0,1,0,0,0,0,0,0,0,0
673,問一得三,0,1,0,0,0,0,0,0,0,0,0,0,0
672,千絲萬繯,0,0,0,0,1,0,0,0,0,0,0,0,0
671,一心無二,0,0,0,1,0,0,0,0,0,0,0,0,0
863,三還九轉,0,0,0,0,1,0,0,0,0,0,0,0,0
669,一千二淨,0,0,1,0,1,1,0,0,0,0,0,0,0
668,千孔百瘡,0,0,0,0,1,0,0,0,0,0,0,0,0
866,二意三心,0,0,0,0,1,0,0,0,0,0,0,0,0
667,七拼八補,0,0,0,0,1,0,0,0,0,0,0,0,0
666,三十六行,0,0,1,0,1,1,0,0,0,0,0,0,0
665,以一擊十,0,1,0,0,0,0,0,0,0,0,0,0,0
867,千岩萬谷,0,0,0,0,1,0,0,0,0,0,0,0,0
868,一夕五起,0,0,0,0,1,0,0,0,0,0,0,0,0
662,萬卉千葩,0,0,0,0,1,0,0,0,0,0,0,0,0
869,語四言三,0,1,0,0,0,0,0,0,0,0,0,0,0
660,萬選萬中,0,0,0,0,1,0,0,0,0,0,0,0,0
958,千思百計,0,0,0,0,1,0,0,0,0,0,0,0,0
959,拉三扯四,0,1,0,0,0,0,0,0,0,0,0,0,0
657,十日一雨,0,0,0,0,1,0,0,0,0,0,0,0,0
656,千金一壺,0,0,0,0,1,0,0,0,0,0,0,0,0
870,三戰三北,0,0,0,0,1,0,0,0,0,0,0,0,0
655,百杯百篇,0,0,0,0,1,0,0,0,0,0,0,0,0
654,屈一伸萬,0,1,0,0,0,0,0,0,0,0,0,0,0
653,五經四書,0,0,0,0,1,0,0,0,0,0,0,0,0
629,三街六巷,0,0,0,0,1,0,0,0,0,0,0,0,0
651,三等九格,0,0,0,0,1,0,0,0,0,0,0,0,0
650,一歲九遷,0,0,0,0,1,0,0,0,0,0,0,0,0
649,五穀五分,0,0,0,0,1,0,0,0,0,0,0,0,0
875,一心一計,0,0,0,0,1,0,0,0,0,0,0,0,0
871,千愁萬緒,0,0,0,0,1,0,0,0,0,0,0,0,0
622,七生八熟,0,0,0,0,1,0,0,0,0,0,0,0,0
628,察三訪四,0,1,0,0,0,0,0,0,0,0,0,0,0
588,七死八活,0,0,0,0,1,0,0,0,0,0,0,0,0
919,百二山河,0,0,0,0,0,1,0,0,0,0,0,0,0
597,一林二虎,0,0,0,0,1,0,0,0,0,0,0,0,0
921,萬不矢一,0,0,0,1,0,0,0,0,0,0,0,0,0
596,一斗百篇,0,0,0,0,1,0,0,0,0,0,0,0,0
922,十親九故,0,0,0,0,1,0,0,0,0,0,0,0,0
923,一言半詞,0,0,0,0,1,0,0,0,0,0,0,0,0
924,牽三掛四,0,1,0,0,0,0,0,0,0,0,0,0,0
925,三房四妾,0,0,0,0,1,0,0,0,0,0,0,0,0
591,一歹九徒,0,0,0,0,1,0,0,0,0,0,0,0,0
926,十圍五攻,0,0,0,0,1,0,0,0,0,0,0,0,0
927,一夕三遷,0,0,0,0,1,0,0,0,0,0,0,0,0
929,七顛八倒,0,0,0,0,1,0,0,0,0,0,0,0,0
942,千載一遇,0,0,0,0,1,0,0,0,0,0,0,0,0
589,四六夾開,0,0,0,0,0,1,0,0,0,0,0,0,0
587,一丘一壑,0,0,0,0,1,0,0,0,0,0,0,0,0
918,雄師百萬,1,0,0,0,0,0,0,0,0,0,0,0,0
586,三親四眷,0,0,0,0,1,0,0,0,0,0,0,0,0
585,十寒一暴,0,0,0,0,1,0,0,0,0,0,0,0,0
931,捱三頂五,0,1,0,0,0,0,0,0,0,0,0,0,0
963,一瞬千里,0,0,0,0,1,0,0,0,0,0,0,0,0
933,一出一人,0,0,0,0,1,0,0,0,0,0,0,0,0
935,四分五剖,0,0,0,0,1,0,0,0,0,0,0,0,0
584,以一知萬,0,1,0,0,0,0,0,0,0,0,0,0,0
583,一言一動,0,0,0,0,1,0,0,0,0,0,0,0,0
582,三平二滿,0,0,0,0,1,0,0,0,0,0,0,0,0
